[프로젝트명] 요구사항 정의서,,,,,,,,,,,,,,
문서버전,v1,작성일자,2026.07.22,작 성 자,AI_01반_02조,,,,,,,,,
,,,,,,,,,,,,,,
Seq,"요구사항 ID
nn(대)+nn(중)+nn(소)+nnn(일련번호)",과업종류,과업범위,,,요구정의명,고객 요구사항 상세 내용,요구사항유형분류,,중요도,"수용
여부",요구사항근거,"요구관리
상태",
,,,업무(대),기능(중),구성(소),,,1차,2차,,,,,
1,USR-01-01,신규,사용자 기능,서비스 정보,서비스 소개·이용안내 조회,"사용자 로그인 전 
서비스 정보 확인","○ 로그인 이전에도 서비스 목적 및 주요 기능을 조회
○ 서비스 이용 절차 및 주요 기능을 안내
○ 고객 문의 및 로그인 화면으로 이동",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
2,USR-02-02,신규,사용자 기능,회원관리,로그인·회원가입,로그인,"○ 아이디와 비밀번호를 입력하여 로그인
○ 로그인 정보를 검증하여 성공 시 메인 화면으로 이동
○ 로그인 실패 시 오류 메시지를 제공",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
3,USR-03-03,신규,사용자 기능,사업계획서 관리,사업계획서 등록·수정·조회,기획서 등록,"○ 사업계획서를 업로드 및 관리
○ 사업명, 산업 분야 등 기본 정보를 입력
○ 등록된 사업계획서를 AI 분석을 위해 저장",S/W요구사항,기능,중,수용,ㅇ 과제정의서,신규,
4,USR-04-04,신규,사용자 기능,데이터 구조화,구조화 데이터 변환,"사업계획서 구조화 및
사업성 분석","○ 업로드된 사업계획서를 AI 분석 가능한 구조화 데이터로 변환
○ 시장 분석, BM 분석, 기술·운영 분석 결과를 제공
○ 누락 및 데이터 부족 시 기획서 등록 단계로",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
5,USR-05-09,신규,사용자 기능,재무 분석,수익성·손익 분석,재무 분석 기능,"○ 시장 분석, BM 분석, 기술·운영 분석 결과를 기반으로 
    예상 매출, 비용, 손익 및 수익성을 분석
○ 재무 분석 결과를 정리하여 제공
○ 재무 분석 결과를 반영한 중간 보고서를 생성하고 다운로드 가능",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
6,USR-06-10,신규,사용자 기능,AI 시장 검증,AI 페르소나 FGI·FGD,가상 시장 검증,"○ 사업계획서를 기반으로 AI 페르소나를 활용한 시장 검증을 수행
○ AI 페르소나를 대상으로 FGI 및 FGD를 수행하여 시장 반응을 분석
○ AI 시장 검증 결과를 다음 단계의 최종 보고서 생성에 활용",S/W요구사항,기능,중,수용,ㅇ 과제정의서,신규,
7,USR-07-19,신규,사용자 기능,보고서 관리,보고서 저장·조회,"대시보드
(개인 사용자 리포트 관리)","○ 생성된 보고서를 조회 및 관리
○ 프로젝트 진행 현황을 확인
○ 최근 프로젝트와 리포트를 조회",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
8,ADM-11-18,신규,관리자 기능,서비스 관리,"서비스 운영 관리·페르소나 관리
·판단 기준 관리",관리자 화면,"○ 서비스 운영 현황을 관리
○ AI 페르소나를 등록·수정·삭제
○ 사업 타당성 판단 기준을 관리",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
9,COM-15-20,신규,공통 기능,보안/공통,보고서 다운로드·알림·활동 이력,보고서 다운로드·알림·활동 이력,"○ 리포트 파일 다운로드
○ 알림·활동 이력 관리
○ 외부 API 연동 및 백업 지원",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
10,BAF-08-05,신규,사업성 분석 기능,법률·규제 검토,법률·인허가 검토,법률·규제 검토 기능,"○ 구조화된 사업계획서를 기반으로 관련 법률 및 규제를 자동 검토
○ 검토 결과를 통과·불통 여부와 함께 사유를 제공
○ 법률·규제 검토 결과를 확인한 후 사업성 분석 화면으로 이동",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
